,Unnamed: 0,Store,DayOfWeek,Sales,Open,Promo,SchoolHoliday,CompetitionDistance,0 holiday,a holiday,b holiday,c holiday,Year,Month,Day,WeekOfYear,CompetitionOpenTime,Promo2Open,IsPromo2Month,a ass,b ass,c ass,type a,type c,type d
2,2,3,5,8314,1,1,1,14130.0,0,0,0,0,2015,7,31,31,103.0,51.96666666666667,1,1,0,0,1,0,0
1117,1117,3,4,8977,1,1,1,14130.0,0,0,0,0,2015,7,30,31,103.0,51.96666666666667,1,1,0,0,1,0,0
2232,2232,3,3,7610,1,1,1,14130.0,0,0,0,0,2015,7,29,31,103.0,51.96666666666667,1,1,0,0,1,0,0
3347,3347,3,2,8864,1,1,1,14130.0,0,0,0,0,2015,7,28,31,103.0,51.96666666666667,1,1,0,0,1,0,0
4462,4462,3,1,8107,1,1,1,14130.0,0,0,0,0,2015,7,27,31,103.0,51.96666666666667,1,1,0,0,1,0,0
5577,5577,3,7,0,0,0,0,14130.0,0,0,0,0,2015,7,26,30,103.0,51.73333333333333,1,1,0,0,1,0,0
6692,6692,3,6,3878,1,0,0,14130.0,0,0,0,0,2015,7,25,30,103.0,51.73333333333333,1,1,0,0,1,0,0
7807,7807,3,5,5080,1,0,1,14130.0,0,0,0,0,2015,7,24,30,103.0,51.73333333333333,1,1,0,0,1,0,0
8922,8922,3,4,5702,1,0,1,14130.0,0,0,0,0,2015,7,23,30,103.0,51.73333333333333,1,1,0,0,1,0,0
10037,10037,3,3,5414,1,0,1,14130.0,0,0,0,0,2015,7,22,30,103.0,51.73333333333333,1,1,0,0,1,0,0
11152,11152,3,2,5600,1,0,1,14130.0,0,0,0,0,2015,7,21,30,103.0,51.73333333333333,1,1,0,0,1,0,0
12267,12267,3,1,5798,1,0,1,14130.0,0,0,0,0,2015,7,20,30,103.0,51.73333333333333,1,1,0,0,1,0,0
13382,13382,3,7,0,0,0,0,14130.0,0,0,0,0,2015,7,19,29,103.0,51.5,1,1,0,0,1,0,0
14497,14497,3,6,4258,1,0,0,14130.0,0,0,0,0,2015,7,18,29,103.0,51.5,1,1,0,0,1,0,0
15612,15612,3,5,6679,1,1,1,14130.0,0,0,0,0,2015,7,17,29,103.0,51.5,1,1,0,0,1,0,0
16727,16727,3,4,7909,1,1,1,14130.0,0,0,0,0,2015,7,16,29,103.0,51.5,1,1,0,0,1,0,0
17842,17842,3,3,8663,1,1,1,14130.0,0,0,0,0,2015,7,15,29,103.0,51.5,1,1,0,0,1,0,0
18957,18957,3,2,8625,1,1,1,14130.0,0,0,0,0,2015,7,14,29,103.0,51.5,1,1,0,0,1,0,0
20072,20072,3,1,9462,1,1,1,14130.0,0,0,0,0,2015,7,13,29,103.0,51.5,1,1,0,0,1,0,0
21187,21187,3,7,0,0,0,0,14130.0,0,0,0,0,2015,7,12,28,103.0,51.266666666666666,1,1,0,0,1,0,0
22302,22302,3,6,4011,1,0,0,14130.0,0,0,0,0,2015,7,11,28,103.0,51.266666666666666,1,1,0,0,1,0,0
23417,23417,3,5,6316,1,0,1,14130.0,0,0,0,0,2015,7,10,28,103.0,51.266666666666666,1,1,0,0,1,0,0
24532,24532,3,4,6613,1,0,1,14130.0,0,0,0,0,2015,7,9,28,103.0,51.266666666666666,1,1,0,0,1,0,0
25647,25647,3,3,6347,1,0,1,14130.0,0,0,0,0,2015,7,8,28,103.0,51.266666666666666,1,1,0,0,1,0,0
26762,26762,3,2,6180,1,0,1,14130.0,0,0,0,0,2015,7,7,28,103.0,51.266666666666666,1,1,0,0,1,0,0
27877,27877,3,1,6736,1,0,1,14130.0,0,0,0,0,2015,7,6,28,103.0,51.266666666666666,1,1,0,0,1,0,0
28992,28992,3,7,0,0,0,0,14130.0,0,0,0,0,2015,7,5,27,103.0,51.03333333333333,1,1,0,0,1,0,0
30107,30107,3,6,4482,1,0,0,14130.0,0,0,0,0,2015,7,4,27,103.0,51.03333333333333,1,1,0,0,1,0,0
31222,31222,3,5,8149,1,1,1,14130.0,0,0,0,0,2015,7,3,27,103.0,51.03333333333333,1,1,0,0,1,0,0
32337,32337,3,4,7450,1,1,1,14130.0,0,0,0,0,2015,7,2,27,103.0,51.03333333333333,1,1,0,0,1,0,0
33452,33452,3,3,8311,1,1,1,14130.0,1,0,0,0,2015,7,1,27,103.0,51.03333333333333,1,1,0,0,1,0,0
34567,34567,3,2,13261,1,1,1,14130.0,1,0,0,0,2015,6,30,27,102.0,51.03333333333333,0,1,0,0,1,0,0
35682,35682,3,1,10243,1,1,1,14130.0,1,0,0,0,2015,6,29,27,102.0,51.03333333333333,0,1,0,0,1,0,0
36797,36797,3,7,0,0,0,0,14130.0,1,0,0,0,2015,6,28,26,102.0,50.8,0,1,0,0,1,0,0
37912,37912,3,6,5156,1,0,0,14130.0,1,0,0,0,2015,6,27,26,102.0,50.8,0,1,0,0,1,0,0
39027,39027,3,5,6222,1,0,0,14130.0,1,0,0,0,2015,6,26,26,102.0,50.8,0,1,0,0,1,0,0
40142,40142,3,4,5763,1,0,0,14130.0,1,0,0,0,2015,6,25,26,102.0,50.8,0,1,0,0,1,0,0
41257,41257,3,3,5448,1,0,0,14130.0,1,0,0,0,2015,6,24,26,102.0,50.8,0,1,0,0,1,0,0
42372,42372,3,2,6757,1,0,0,14130.0,1,0,0,0,2015,6,23,26,102.0,50.8,0,1,0,0,1,0,0
43487,43487,3,1,5840,1,0,0,14130.0,1,0,0,0,2015,6,22,26,102.0,50.8,0,1,0,0,1,0,0
44602,44602,3,7,0,0,0,0,14130.0,1,0,0,0,2015,6,21,25,102.0,50.56666666666667,0,1,0,0,1,0,0
45717,45717,3,6,3891,1,0,0,14130.0,1,0,0,0,2015,6,20,25,102.0,50.56666666666667,0,1,0,0,1,0,0
46832,46832,3,5,8074,1,1,0,14130.0,1,0,0,0,2015,6,19,25,102.0,50.56666666666667,0,1,0,0,1,0,0
47947,47947,3,4,7537,1,1,0,14130.0,1,0,0,0,2015,6,18,25,102.0,50.56666666666667,0,1,0,0,1,0,0
49062,49062,3,3,8524,1,1,0,14130.0,1,0,0,0,2015,6,17,25,102.0,50.56666666666667,0,1,0,0,1,0,0
50177,50177,3,2,9780,1,1,0,14130.0,1,0,0,0,2015,6,16,25,102.0,50.56666666666667,0,1,0,0,1,0,0
51292,51292,3,1,10818,1,1,0,14130.0,1,0,0,0,2015,6,15,25,102.0,50.56666666666667,0,1,0,0,1,0,0
52407,52407,3,7,0,0,0,0,14130.0,1,0,0,0,2015,6,14,24,102.0,50.333333333333336,0,1,0,0,1,0,0
53522,53522,3,6,4687,1,0,0,14130.0,1,0,0,0,2015,6,13,24,102.0,50.333333333333336,0,1,0,0,1,0,0
54637,54637,3,5,6181,1,0,0,14130.0,1,0,0,0,2015,6,12,24,102.0,50.333333333333336,0,1,0,0,1,0,0
55752,55752,3,4,5656,1,0,0,14130.0,1,0,0,0,2015,6,11,24,102.0,50.333333333333336,0,1,0,0,1,0,0
56867,56867,3,3,6440,1,0,0,14130.0,1,0,0,0,2015,6,10,24,102.0,50.333333333333336,0,1,0,0,1,0,0
57982,57982,3,2,7127,1,0,0,14130.0,1,0,0,0,2015,6,9,24,102.0,50.333333333333336,0,1,0,0,1,0,0
59097,59097,3,1,6567,1,0,0,14130.0,1,0,0,0,2015,6,8,24,102.0,50.333333333333336,0,1,0,0,1,0,0
60212,60212,3,7,0,0,0,0,14130.0,1,0,0,0,2015,6,7,23,102.0,50.1,0,1,0,0,1,0,0
61327,61327,3,6,4622,1,0,0,14130.0,1,0,0,0,2015,6,6,23,102.0,50.1,0,1,0,0,1,0,0
62442,62442,3,5,9685,1,1,0,14130.0,1,0,0,0,2015,6,5,23,102.0,50.1,0,1,0,0,1,0,0
63557,63557,3,4,0,0,1,0,14130.0,0,1,0,0,2015,6,4,23,102.0,50.1,0,1,0,0,1,0,0
64672,64672,3,3,9590,1,1,0,14130.0,1,0,0,0,2015,6,3,23,102.0,50.1,0,1,0,0,1,0,0
65787,65787,3,2,10455,1,1,0,14130.0,1,0,0,0,2015,6,2,23,102.0,50.1,0,1,0,0,1,0,0
66902,66902,3,1,11594,1,1,0,14130.0,1,0,0,0,2015,6,1,23,102.0,50.1,0,1,0,0,1,0,0
68017,68017,3,7,0,0,0,0,14130.0,1,0,0,0,2015,5,31,22,101.0,49.86666666666667,0,1,0,0,1,0,0
69132,69132,3,6,4542,1,0,0,14130.0,1,0,0,0,2015,5,30,22,101.0,49.86666666666667,0,1,0,0,1,0,0
70247,70247,3,5,7421,1,0,0,14130.0,1,0,0,0,2015,5,29,22,101.0,49.86666666666667,0,1,0,0,1,0,0
71362,71362,3,4,6475,1,0,0,14130.0,1,0,0,0,2015,5,28,22,101.0,49.86666666666667,0,1,0,0,1,0,0
72477,72477,3,3,5589,1,0,0,14130.0,1,0,0,0,2015,5,27,22,101.0,49.86666666666667,0,1,0,0,1,0,0
73592,73592,3,2,6443,1,0,1,14130.0,1,0,0,0,2015,5,26,22,101.0,49.86666666666667,0,1,0,0,1,0,0
74707,74707,3,1,0,0,0,0,14130.0,0,1,0,0,2015,5,25,22,101.0,49.86666666666667,0,1,0,0,1,0,0
75822,75822,3,7,0,0,0,0,14130.0,1,0,0,0,2015,5,24,21,101.0,49.63333333333333,0,1,0,0,1,0,0
76937,76937,3,6,4613,1,0,0,14130.0,1,0,0,0,2015,5,23,21,101.0,49.63333333333333,0,1,0,0,1,0,0
78052,78052,3,5,7349,1,1,0,14130.0,1,0,0,0,2015,5,22,21,101.0,49.63333333333333,0,1,0,0,1,0,0
